City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,dalbandin,28.8947,64.4101,31.51,12,0,3.28,PK,1726804244
342,anadyr,64.75,177.4833,9.28,70,75,6.0,RU,1726804082
343,paphos,34.7667,32.4167,19.88,68,20,3.6,CY,1726804247
344,ingeniero jacobacci,-41.3427,-69.5448,3.61,67,33,12.66,AR,1726804248
345,kayangel,8.0823,134.7173,28.76,71,34,2.2,PW,1726804251
346,tha khanon,9.0302,98.9529,25.9,58,85,6.09,TH,1726804252
347,faro,37.0194,-7.9322,19.88,83,40,2.57,PT,1726804253
348,wuwei,37.9281,102.6414,17.18,66,99,2.47,CN,1726804254
349,afaahiti,-17.75,-149.2833,24.91,80,70,1.55,PF,1726804255
350,cill airne,52.05,-9.5167,12.65,90,100,1.44,IE,1726804256
351,kill devil hills,36.0307,-75.676,22.77,82,100,1.54,US,1726804257
352,naze,28.3667,129.4833,28.51,88,100,6.55,JP,1726804260
353,san rafael,-34.6177,-68.3301,15.91,11,13,7.99,AR,1726804261
354,maffra,-37.9667,146.9833,14.29,48,98,7.08,AU,1726804263
355,benguela,-12.5763,13.4055,21.51,86,89,1.81,AO,1726804264
356,santo antonio do ica,-3.1022,-67.9397,27.27,60,94,1.34,BR,1726804266
357,dakhla,23.6848,-15.958,20.0,87,17,5.9,EH,1726804267
358,ambajogai,18.7333,76.3833,26.73,69,99,3.69,IN,1726804268
359,tamanrasset,22.785,5.5228,23.95,57,40,1.54,DZ,1726804269
360,san juan,-31.5375,-68.5364,20.32,7,100,3.82,AR,1726804156
361,lorgues,43.4936,6.3611,14.93,93,0,0.0,FR,1726804271
362,codrington,-38.2667,141.9667,13.54,71,78,10.59,AU,1726804272
363,huanren,41.2647,125.3667,10.82,96,100,2.91,CN,1726804273
364,saint-leu,-21.15,55.2833,23.86,89,18,0.75,RE,1726804275
