City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,colonia,50.9333,6.95,9.93,92,75,3.09,DE,1728617441
317,shimoda,34.6667,138.95,21.57,68,99,3.31,JP,1728617443
318,ar ruways,24.1103,52.7306,29.36,58,0,3.77,AE,1728617444
319,gobabis,-22.45,18.9667,19.51,23,0,4.96,NA,1728617445
320,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1728617446
321,pobugskoye,48.1658,30.5927,13.59,97,20,3.0,UA,1728617447
322,yunyang,33.4474,112.7142,24.91,34,96,1.89,CN,1728617448
323,ponta delgada,37.7333,-25.6667,19.4,77,40,6.69,PT,1728617450
324,sarmiento,-45.5882,-69.07,7.92,43,11,12.06,AR,1728617452
325,las heras,-46.5419,-68.9359,7.37,42,7,8.12,AR,1728617453
326,lupane,-18.9315,27.807,13.97,44,0,2.31,ZW,1728617454
327,vila velha,-20.3297,-40.2925,21.97,98,75,3.6,BR,1728616877
328,muisne,0.6,-80.0333,23.97,85,100,2.96,EC,1728617456
329,arenapolis,-14.4503,-56.8461,23.91,75,67,1.13,BR,1728617457
330,trondheim,63.4305,10.3951,5.03,94,72,6.24,NO,1728617403
331,hastings,50.8552,0.5729,5.55,51,3,2.97,GB,1728617460
332,vakarai,55.6035,23.8213,12.55,90,98,4.01,LT,1728617461
333,taro,-8.3862,115.28,30.84,46,67,1.96,ID,1728617462
334,saint-pierre,-21.3393,55.4781,21.82,73,75,6.17,RE,1728617464
335,hithadhoo,-0.6,73.0833,27.74,79,65,5.23,MV,1728617465
336,bratsk,56.1325,101.6142,-4.73,54,76,4.66,RU,1728617466
337,alofi,-19.0595,-169.9187,25.94,78,75,5.14,NU,1728617467
338,verkhnevilyuysk,63.4453,120.3167,-0.72,79,98,1.21,RU,1728617468
339,montaigu,46.9767,-1.3085,8.75,94,5,1.81,FR,1728617470
340,taoudenni,22.6783,-3.9836,32.78,23,3,5.09,ML,1728617471
341,nagqu,31.5,92.0,8.39,27,46,6.11,CN,1728617472
342,sitka,57.0531,-135.33,7.94,81,75,3.09,US,1728617473
343,kota belud,6.351,116.4305,30.72,64,44,3.36,MY,1728617333
344,trairi,-3.2778,-39.2689,25.69,75,68,5.58,BR,1728617382
345,plastun,44.7561,136.2939,14.19,71,59,2.84,RU,1728617476
346,la'ie,21.6477,-157.9253,28.98,78,45,4.47,US,1728617478
347,isoka,-10.1606,32.6335,17.57,71,75,0.46,ZM,1728617479
348,ushtobe,45.2514,77.9838,20.33,29,84,1.95,KZ,1728617480
349,lakhipur,26.0299,90.3041,28.96,68,9,2.16,IN,1728617481
350,quepos,9.4236,-84.1652,24.85,90,100,0.8,CR,1728617482
351,chipiona,36.7366,-6.437,19.12,88,20,1.54,ES,1728617483
352,kalamata,37.0389,22.1142,21.73,49,20,1.54,GR,1728617484
353,el achir,36.0639,4.6274,16.21,72,100,1.78,DZ,1728617485
354,kirensk,57.7853,108.1119,0.91,72,100,2.38,RU,1728617487
355,windhoek,-22.5594,17.0832,18.27,24,0,1.03,NA,1728617488
356,saipan,15.1355,145.701,31.39,74,40,4.12,MP,1728617490
357,celina,40.5489,-84.5702,8.89,86,0,2.69,US,1728617491
358,san antonio de pale,-1.4014,5.6325,24.46,78,100,4.4,GQ,1728617492
359,lihue,21.9789,-159.3672,27.77,74,20,5.66,US,1728617493
360,yanam,16.7333,82.2167,27.12,89,100,1.89,IN,1728617494
361,acarau,-2.8856,-40.12,25.46,77,59,7.01,BR,1728617495
362,haiku-pauwela,20.9219,-156.3051,26.81,76,100,11.18,US,1728617496
363,yaroslavskiy,44.1683,132.2072,15.43,56,0,2.48,RU,1728617497
364,lazarevskoye,43.9061,39.3331,18.57,65,98,2.44,RU,1728617499
